DO,pH,Conductivity,Turbidity,Ammonia-N,Hardness,Sulphate,TDS,Date,WQI
4.6,7.48,1520.0,20.0,0.4,430.0,84.0,894.0,2019-01-01,176.89961904761907
2.2,7.51,1577.0,10.38,0.4,505.0,90.0,926.0,2019-01-01,160.9907619047619
3.0,7.66,1128.0,16.0,0.4,260.0,102.0,760.0,2019-01-01,141.98380952380953
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
4.6,7.58,2598.0,18.0,0.4,905.0,164.0,1614.0,2019-01-01,264.18342857142864
1.4,7.8,1420.0,10.85,0.4,460.0,78.0,852.0,2019-01-01,149.0464761904762
6.6,7.74,2300.0,32.0,0.4,410.92,65.0,1324.0,2019-01-01,247.22885714285715
4.6,7.82,1524.0,16.0,0.4,320.0,124.0,945.0,2019-01-01,171.94857142857146
4.6,7.36,13100.0,228.0,0.4,1971.17,128.0,7814.0,2019-01-01,1281.243380952381
5.8,7.59,4280.0,40.0,0.4,850.04,110.0,3110.0,2019-01-01,426.14180952380957
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
6.8,7.38,2999.0,25.0,0.4,464.0,42.0,1756.0,2019-01-01,280.68514285714286
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
5.1,7.51,1888.0,29.0,0.4,384.0,37.0,1128.0,2019-01-01,212.37876190476186
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
6.7,7.61,9190.0,59.0,0.4,1217.0,78.0,5394.0,2019-01-01,743.0539047619047
4.6,7.48,1096.0,12.0,0.4,280.0,60.0,668.0,2019-01-01,132.91828571428573
4.6,7.22,1192.0,15.0,0.4,325.0,80.0,720.0,2019-01-01,145.50571428571428
6.0,7.2,380.0,60.0,0.4,140.0,18.0,222.0,2019-01-01,161.20361904761904
5.2,7.91,674.0,19.0,0.4,120.0,68.0,428.0,2019-01-01,115.97400000000002
4.6,7.52,1682.0,21.0,0.4,410.0,120.0,962.0,2019-01-01,188.35980952380953
2.2,7.44,1601.0,19.0,0.4,420.0,86.0,952.0,2019-01-01,173.68742857142857
4.6,7.45,1512.0,18.0,0.4,430.0,110.0,958.0,2019-01-01,177.75780952380953
0.8,7.48,1650.0,18.0,0.4,520.0,57.0,980.0,2019-01-01,173.0442857142857
2.6,8.02,1199.0,12.0,0.4,320.0,72.0,710.0,2019-01-01,135.48285714285714
5.4,7.81,566.0,37.0,0.4,144.79,22.0,336.0,2019-01-01,135.69385714285715
6.8,7.94,1290.0,32.0,0.4,306.92,48.0,774.0,2019-01-01,183.7264761904762
5.6,7.81,250.0,6.0,0.4,90.0,12.0,152.0,2019-01-01,64.96885714285715
5.9,8.29,294.0,4.0,0.4,85.0,18.0,180.0,2019-01-01,66.31714285714287
5.5,8.2,407.0,12.0,0.4,140.0,20.0,232.0,2019-01-01,86.03838095238096
5.9,7.75,590.0,5.0,0.4,160.0,30.0,360.0,2019-01-01,88.67523809523809
3.2,7.1,1534.0,28.0,0.4,266.0,134.0,920.0,2019-01-01,183.8838095238095
4.6,7.55,5490.0,32.0,0.4,1945.0,680.0,3509.0,2019-01-01,534.3629523809524
4.6,7.92,10100.0,28.0,0.4,680.0,808.0,6262.0,2019-01-01,778.5883809523809
2.2,7.24,810.0,28.16,0.4,250.0,42.0,458.0,2019-01-01,130.08380952380952
1.6,7.3,923.0,30.86,0.4,310.0,66.0,590.0,2019-01-01,146.1007619047619
4.6,7.17,1858.0,13.0,0.4,450.0,110.0,1110.0,2019-01-01,188.81380952380954
5.2,7.14,4420.0,5.1,0.4,1014.32,98.0,2586.0,2019-01-01,352.2853333333333
6.3,7.31,1163.0,2.7,0.4,340.39,47.0,710.0,2019-01-01,128.20014285714285
7.2,7.9,678.0,2.5,0.4,199.59,35.0,395.0,2019-01-01,94.77728571428571
4.6,7.55,1810.0,18.0,0.4,460.0,109.0,1080.0,2019-01-01,194.65428571428575
5.4,6.68,5110.0,3.0,0.4,1465.98,129.0,3118.0,2019-01-01,413.91047619047623
4.6,8.24,1576.0,16.0,0.4,380.0,80.0,988.0,2019-01-01,176.20590476190478
6.5,7.18,1178.0,19.0,0.4,406.87,96.0,712.0,2019-01-01,159.90452380952385
6.7,7.55,1060.0,17.0,0.4,305.89,32.0,648.0,2019-01-01,144.28128571428573
6.5,7.78,2529.0,18.0,0.4,452.1,65.0,1480.0,2019-01-01,241.10238095238094
6.5,7.53,1598.0,22.0,0.4,461.47,43.0,960.0,2019-01-01,190.32852380952386
3.2,8.19,1094.0,27.0,0.4,235.0,84.0,702.0,2019-01-01,155.33266666666668
5.6,6.97,996.0,20.0,0.4,265.0,68.0,592.0,2019-01-01,140.66885714285715
